Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
NE;PE;Recife;M;entre 31 a 40 anos;2025-02-04;10;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Fixa;Cobrança / Contestação;Cobrança após cancelamento do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;
N;PA;Paragominas;F;até 20 anos;2025-02-04;9;Google;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;GO;Goiânia;F;mais de 70 anos;2025-02-05;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Dificuldade de acesso a dados pessoais ou financeiros;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
N;RO;Ariquemes;F;entre 61 a 70 anos;2025-02-03;8;Nubank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Magé;F;entre 41 a 50 anos;2025-02-06;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Feira de Santana;F;entre 31 a 40 anos;2025-02-06;;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc);Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Internet;S;N;Finalizada não avaliada;Não Avaliada;
SE;RJ;Nova Iguaçu;M;entre 51 a 60 anos;2025-02-04;8;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Cobrança / Contestação;Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;BA;Simões Filho;M;entre 41 a 50 anos;2025-02-01;;Magazine Luiza - Loja Online;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;N;Finalizada não avaliada;Não Avaliada;
N;RO;Porto Velho;M;entre 21 a 30 anos;2025-02-01;10;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;MG;Santa Luzia;M;entre 21 a 30 anos;2025-02-04;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Serra;F;entre 21 a 30 anos;2025-02-03;10;Banco C6 Consignado (Banco Ficsa);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
NE;PI;Teresina;F;entre 21 a 30 anos;2025-02-05;10;Casas Bahia;Varejo;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;PI;Demerval Lobão;M;entre 41 a 50 anos;2025-02-03;10;Banco Bradesco;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Negativação indevida (não cumprimento de acordo de parcelamento);Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Vitória;F;entre 21 a 30 anos;2025-02-03;10;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (exceto SAC);Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;PB;João Pessoa;M;entre 31 a 40 anos;2025-02-06;10;Casas Bahia;Varejo;Demais Produtos;Móveis e Colchões;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;M;entre 21 a 30 anos;2025-02-03;7;Pagseguro;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Dados Pessoais e Privacidade;Dificuldade de acesso a dados pessoais ou financeiros;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Uberlândia;M;entre 21 a 30 anos;2025-02-05;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;M;entre 51 a 60 anos;2025-02-03;10;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamento de Imóveis;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Loja física;N;S;Finalizada não avaliada;Não Avaliada;
N;AM;Presidente Figueiredo;F;entre 51 a 60 anos;2025-02-10;28;Itaú Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Camaragibe;M;entre 31 a 40 anos;2025-02-06;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Queimados;M;entre 41 a 50 anos;2025-02-03;6;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;M;entre 31 a 40 anos;2025-02-03;8;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;ES;Pedro Canário;M;entre 41 a 50 anos;2025-02-03;10;EDP Espírito Santo;Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Saúde e Segurança;Risco, dano físico ou mal estar decorrente da prestação do serviço (poste/rede em mau estado, quedas de energia, flutuação/oscilação do nível de tensão etc);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;Maricá;M;entre 61 a 70 anos;2025-02-03;6;Google;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;N;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;F;entre 41 a 50 anos;2025-02-01;9;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;M;entre 31 a 40 anos;2025-02-01;10;iFood;Empresas de Intermediação de Serviços / Negócios;Demais Serviços;Serviços de entrega / delivery;Vício de Qualidade;Divergência de peso, volume e quantidade;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S;RS;Porto Alegre;M;entre 21 a 30 anos;2025-02-03;;Uber;Empresas de Intermediação de Serviços / Negócios;Demais Serviços;Aplicativo de mobilidade urbana;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;N;Finalizada não avaliada;Não Avaliada;
SE;RJ;Resende;M;entre 31 a 40 anos;2025-02-03;5;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;GO;Águas Lindas de Goiás;F;entre 51 a 60 anos;2025-02-08;10;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Dados Pessoais e Privacidade;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;
NE;PI;Teresina;F;entre 41 a 50 anos;2025-02-04;10;Itauleasing;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Loja física;N;S;Finalizada não avaliada;Não Avaliada;
CO;GO;Caldas Novas;M;entre 31 a 40 anos;2025-02-07;9;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;SE;Aracaju;M;entre 41 a 50 anos;2025-02-01;9;TAP Air Portugal;Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Cancelamento de voo;Internet;S;S;Finalizada avaliada;Não Resolvida;1
NE;BA;Salvador;F;entre 31 a 40 anos;2025-02-04;10;Claro Celular;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Contrato / Oferta;Alteração de plano/contrato sem solicitação ou aviso prévio;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;RJ;São Pedro da Aldeia;M;entre 61 a 70 anos;2025-02-03;4;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Três Pontas;M;entre 31 a 40 anos;2025-02-06;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Internet;S;S;Finalizada não avaliada;Não Avaliada;
S;RS;Porto Alegre;M;entre 31 a 40 anos;2025-02-03;10;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Uberlândia;F;entre 21 a 30 anos;2025-02-05;10;Will Bank (antigo Meu Pag!);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Internet;N;S;Finalizada não avaliada;Não Avaliada;
CO;MS;Jardim;M;entre 31 a 40 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Serra Talhada;F;entre 21 a 30 anos;2025-02-07;9;Will Bank (antigo Meu Pag!);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Telefone;S;S;Finalizada não avaliada;Não Avaliada;
NE;PB;São Sebastião de Lagoa de Roça;M;entre 21 a 30 anos;2025-02-03;7;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;MA;Imperatriz;M;até 20 anos;2025-02-03;8;Google;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
S;RS;Caxias do Sul;M;entre 31 a 40 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;SP;São Paulo;M;entre 21 a 30 anos;2025-02-03;8;Banco BTG Pactual;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada não avaliada;Não Avaliada;
NE;AL;Maceió;M;entre 21 a 30 anos;2025-02-05;9;Banco BTG Pactual;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Dados Pessoais e Privacidade;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Buritis;M;entre 31 a 40 anos;2025-02-06;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Internet;S;S;Finalizada não avaliada;Não Avaliada;
CO;DF;Brasília;F;entre 31 a 40 anos;2025-02-03;10;Credsystem;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;Dificuldade de contato / acesso a outros canais (exceto SAC);Loja física;N;S;Finalizada não avaliada;Não Avaliada;
NE;PE;Gravatá;M;entre 21 a 30 anos;2025-02-07;8;Banco Agibank (Agiplan);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Loja física;N;S;Finalizada não avaliada;Não Avaliada;
CO;GO;Goiânia;F;entre 41 a 50 anos;2025-02-11;;BB Seguro Auto;Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;
S;PR;Reserva;F;entre 21 a 30 anos;2025-02-05;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Dificuldade de cancelamento / eliminação de dados / revogação do consentimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Rio Piracicaba;M;entre 61 a 70 anos;2025-02-04;9;Cemig;Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Vício de Qualidade;Interrupção/instabilidade do fornecimento (falta de energia frequente, flutuação/oscilação do nível de tensão);Internet;S;S;Finalizada não avaliada;Não Avaliada;
NE;RN;Cruzeta;M;entre 31 a 40 anos;2025-02-03;10;Serasa Experian;Bancos de Dados e Cadastros de Consumidores;Serviços Financeiros;Consulta / Monitoramento de CPF;Dados Pessoais e Privacidade;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros;Internet;S;S;Finalizada não avaliada;Não Avaliada;
S;RS;Guaporé;M;entre 31 a 40 anos;2025-02-03;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;
N;RO;Ariquemes;F;entre 61 a 70 anos;2025-02-07;8;Itaú Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;M;mais de 70 anos;2025-02-04;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada não avaliada;Não Avaliada;
SE;MG;Belo Horizonte;M;mais de 70 anos;2025-02-04;9;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;TV por Assinatura;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada não avaliada;Não Avaliada;
